hip_id,ra,dec,mag
5204,16.640116,12.956039,6.14
5240,16.750530,56.934971,6.41
5251,16.789381,53.498184,6.31
5259,16.803825,-23.996334,6.36
5268,16.827570,-61.775288,5.36
5296,16.942532,-9.785550,5.71
5300,16.949354,-41.486916,5.21
5310,16.988161,20.739113,5.56
5315,16.998600,1.993042,6.44
5317,17.003386,43.942093,5.04
5319,17.005514,32.012131,6.23
5336,17.062155,54.920341,5.17
5346,17.092501,5.649819,5.51
5348,17.096130,-55.245762,3.94
5361,17.139404,58.263451,5.77
5364,17.147461,-10.182264,3.46
5372,17.184195,86.257088,4.24
5412,17.301149,80.011581,6.24
5434,17.375521,47.241791,4.26
5447,17.432911,35.620560,2.07
5454,17.455004,19.658407,5.57
5477,17.530725,-57.694420,6.41
5483,17.547674,15.673912,6.07
5485,17.549776,-8.906135,6.40
5493,17.578199,42.081474,5.67
5494,17.581051,25.457764,5.81
5510,17.639805,2.445670,5.97
5518,17.663685,68.778618,5.32
5542,17.775255,55.149902,4.34
5544,17.778194,31.424736,5.15
5550,17.792835,37.724121,5.80
5566,17.856421,64.202675,5.56
5571,17.863411,21.034651,4.66
5575,17.870714,10.291908,6.49
5586,17.915131,30.089638,4.51
5589,17.922436,65.018852,5.57
5594,17.931284,-2.251079,5.93
5626,18.069016,79.673965,5.60
5650,18.141975,45.337532,6.13
5661,18.189240,-37.856480,5.95
5679,18.247799,30.064228,6.24
5688,18.290970,61.706188,6.40
5737,18.432856,7.575354,5.21
5742,18.437279,24.583714,4.67
5743,18.438599,7.578261,6.44
5772,18.520424,28.529575,6.33
5778,18.531796,16.133478,5.97
5799,18.600164,-7.922826,5.14
5824,18.676634,6.995136,6.04
5833,18.704880,-0.973795,5.70
5862,18.795647,-45.531666,4.97
5896,18.940559,-68.875931,4.25
5926,19.049580,71.743843,5.87
5928,19.052641,87.145493,6.20
5936,19.078831,33.114719,6.04
5947,19.129215,79.910011,6.27
5951,19.151205,-2.500368,5.42
5992,19.265459,-66.397858,6.23
5993,19.271086,44.901993,6.11
6025,19.350494,31.744617,6.36
6061,19.449810,3.614466,5.13
6087,19.542269,47.419704,6.29
6093,19.557871,57.803165,6.39
6140,19.695869,37.386276,6.44
6193,19.866644,27.264059,4.74
6226,19.951231,-0.509029,5.87
6242,20.020485,58.231609,4.95
6261,20.080994,77.570679,6.31
6272,20.115870,-11.238999,6.16
6283,20.144054,-3.246990,6.26
6312,20.271749,64.658134,6.33
6315,20.280704,28.738207,5.23
6378,20.495745,76.238808,6.37
6411,20.585054,45.528778,4.87
6427,20.627010,-19.081207,6.35
6429,20.645130,-0.449673,6.50
6432,20.653965,1.726332,6.21
6486,20.838961,58.142994,6.36
6492,20.853960,20.468967,5.97
6502,20.878994,-30.945618,5.84
6512,20.906025,34.245888,6.28
6514,20.919180,37.714943,5.60
6522,20.945055,78.726059,6.07
6537,21.005850,-8.183257,3.60
6539,21.010574,-8.007416,6.21
6564,21.085424,-6.914656,5.92
6589,21.166380,-15.660468,6.17
6592,21.169935,-41.492550,5.42
6595,21.174660,-44.528576,6.26
6605,21.202829,-2.848590,6.17
6631,21.272039,-64.369476,5.92
6669,21.398655,23.511518,6.18
6670,21.405134,-14.598796,4.90
6685,21.442951,70.979889,6.34
6686,21.453239,60.235283,2.66
6687,21.468180,-3.927391,6.50
6692,21.483120,68.130013,4.72
6702,21.536476,34.579700,6.34
6706,21.563595,19.172346,5.35
6711,21.577755,43.457741,5.98
6714,21.598305,20.070805,6.44
6717,21.613951,-0.399034,6.42
6732,21.673651,19.240421,5.50
6748,21.714855,-13.056512,5.51
6776,21.776279,34.377552,6.27
6789,21.847126,-22.338232,6.43
6794,21.861135,41.101158,6.42
6813,21.913725,45.406689,4.83
6822,21.943920,-10.901582,6.13
6867,22.091385,-43.318233,3.41
6868,22.095480,7.961353,6.22
6952,22.377241,-46.756420,6.25
6960,22.400551,-21.629339,5.11
6971,22.428391,-25.617748,6.37
6981,22.470255,18.355669,6.01
6999,22.525425,47.007275,5.27
7007,22.546307,6.143820,4.84
7016,22.595428,-26.207851,5.92
7050,22.716900,66.098083,6.15
7078,22.806660,70.264603,5.82
7083,22.812765,-49.072701,3.93
7097,22.870874,15.345823,3.62
7115,22.912529,-45.575710,6.17
7118,22.930199,-30.283081,5.79
7147,23.031569,34.799961,6.39
7189,23.151569,-49.727715,6.27
7213,23.233545,-36.865231,5.49
7243,23.326155,8.208738,6.31
7251,23.357130,58.327335,5.69
7271,23.413515,-78.504822,6.11
7276,23.428484,-7.025341,5.75
7283,23.452305,89.015640,6.46
7294,23.482920,59.232040,4.68
7321,23.569185,37.237144,5.90
7345,23.657400,-15.676359,5.62
7359,23.704441,18.460512,5.90
7361,23.711626,-31.892317,6.11
7362,23.713831,-3.523889,6.44
7363,23.714880,-23.699680,6.41
7387,23.811975,-58.139477,6.03
7436,23.943510,14.661422,6.23
7443,23.960730,-39.947124,6.43
7444,23.968948,41.076420,6.39
7447,23.978130,17.433842,5.95
7450,23.995695,-15.400183,5.41
7463,24.035414,-29.907316,5.69
7493,24.113356,48.722775,6.20
7505,24.181364,7.831529,6.39
7506,24.186600,-58.270966,6.18
7513,24.199486,41.405460,4.10
7535,24.274651,12.141535,5.54
7568,24.365835,-84.769592,5.66
7580,24.407101,-9.403782,6.24
7588,24.428341,-57.236755,0.45
7593,24.446671,64.739357,6.49
7597,24.466949,-3.440678,6.43
7601,24.479385,-82.974998,5.88
7607,24.498075,48.628212,3.59
7617,24.531525,57.977631,5.55
7643,24.614519,-36.528252,5.94
7650,24.628891,73.040039,5.28
7651,24.632610,45.399708,6.38
7679,24.715769,-21.275385,5.58
7719,24.837526,44.386166,5.01
7740,24.920069,16.405857,5.98
7751,24.947535,-56.196400,5.76
7786,25.054621,53.868279,6.35
7818,25.145056,40.577049,4.96
7819,25.145519,8.760769,6.34
7825,25.165112,43.297688,5.63
7874,25.326525,25.745712,6.20
7879,25.338839,-79.148201,6.33
7884,25.357891,5.487613,4.45
7886,25.363800,-38.132828,6.20
7906,25.413494,30.047119,5.97
7916,25.436804,-11.324669,5.75
7918,25.445745,42.613369,4.96
7921,25.449825,-60.789337,5.70
7941,25.512495,-36.832306,5.70
7943,25.514521,35.245708,5.63
7955,25.535835,-32.326969,5.25
7963,25.573727,58.627739,6.35
7965,25.585320,68.043022,5.57
7978,25.621876,-53.740833,5.52
7981,25.624050,20.268503,5.24
7999,25.681290,-3.690200,4.98
8016,25.732395,70.622528,5.18
8020,25.743000,61.421074,6.33
